"Species","Disturbance.Severity","Disturbance.Frequency","Grazing.Pressure","Mowing.Frequency","Soil.Disturbance","L","M","N","R","T","RC1","RC2","RC3","RC4"
"Geranium palustre",0.5472,0.9101,0.1674,0.7002,0.1534,7.5,7,7,7.5,5,0.4314,-0.5765,1.5227,0.4636
"Geranium phaeum",0.6054,0.3193,0.1659,0.1623,0.1296,5.5,6,6,6,5,-1.0951,-0.0107,0.7209,-0.3306
"Geranium pratense",0.5382,1.2742,0.1434,0.9789,0.2987,7,5,7,7,6,0.9818,0.2162,1.1665,0.4152
"Geranium pusillum",0.7907,1.644,0.1751,0.5739,0.6917,7,4,7,6,6,1.0415,2.5437,0.5118,-0.4382
"Geranium pyrenaicum",0.625,1.0452,0.1932,0.7256,0.3555,7,5,7,7,6,0.5538,0.6782,0.8235,0.4425
"Geranium robertianum",0.6744,0.1231,0.1846,0.047,0.1191,5,6,7,6,5,-1.5156,0.3069,0.8329,-0.15
"Geranium sanguineum",0.5632,0.3621,0.2447,0.2285,0.1325,7,3,3,8,6,-0.9154,-0.2426,-0.9022,0.757
"Geranium sylvaticum aggr.",0.5461,0.3222,0.1784,0.1403,0.1413,7,6,6,6,4,-0.7441,-0.3857,0.6709,-0.7176
"Geum rivale",0.5739,0.5285,0.1788,0.3085,0.1428,6,8,4.5,6,4,-0.5401,-0.5975,0.9085,-0.9481
"Geum urbanum",0.6774,0.1455,0.1921,0.0655,0.1264,4.5,5,7,6,5,-1.634,0.4893,0.6079,-0.1533
"Gladiolus imbricatus",0.5196,1.1767,0.1847,0.9922,0.2453,7,6,3,7,5,0.8812,-0.497,0.3497,-0.3951
"Gladiolus palustris",0.4349,1.8642,0.2901,1.1654,0.1024,7,6,3,7,6,1.4771,-1.3589,0.0542,0.2321
"Glaux maritima",0.4935,2.2586,0.4525,0.0903,0.2036,7,7,5,7.5,6,0.7641,-1.0889,-0.0913,0.777
"Glechoma hederacea",0.6037,0.4437,0.2132,0.3016,0.2149,5.5,6,7,6,5.5,-0.6975,0.2203,0.7807,-0.0461
"Glechoma hirsuta",0.6827,0.0673,0.1869,0.0257,0.1043,5,5,6,7,7,-1.7043,0.4347,0.2947,1.0316
"Globularia bisnagarica",0.485,0.9868,0.3308,0.4227,0.1592,9,2,2,9,6,0.1595,-0.7649,-1.5365,1.1578
"Glyceria declinata",0.3297,1.6189,0.1444,0.1338,0.1333,5,8,6,5,5,0.0813,-1.2807,1.4663,-0.9993
"Glyceria fluitans aggr.",0.3964,1.2909,0.2775,0.2951,0.1348,6.5,9.25,6.75,5.5,5,0.4065,-1.4706,1.3453,-0.4491
"Glyceria maxima",0.3156,1.4196,0.1536,0.3773,0.1016,8,10,8.5,7.5,5,0.8866,-1.9908,2.6696,0.6077
"Glyceria notata",0.3872,1.1255,0.1569,0.2077,0.1247,7,9,7,7,5,0.1852,-1.4608,1.9393,0.1772
"Glycyrrhiza glabra",0.5888,1.304,0.2017,0.4107,0.3086,7,4,6,8,7,0.2444,0.4693,0.329,1.23
"Gnaphalium sylvaticum",0.5655,0.6612,0.252,0.358,0.2747,7.5,5,5.5,4,4,0.0118,0.2024,-0.1583,-1.7934
"Gnaphalium uliginosum",0.7698,1.824,0.1994,0.2146,0.5458,8,7,6,5,6,0.9983,1.6217,0.6395,-0.8667
"Gratiola officinalis",0.5074,1.6585,0.2505,0.7382,0.1346,7,8,6,7,7,1.0018,-0.9139,1.1372,0.9516
"Gymnadenia conopsea",0.4595,1.1272,0.2591,0.5966,0.1362,7,6.5,3,7.75,5,0.3529,-1.2651,0.1681,0.1585
"Gymnocarpium dryopteris",0.6822,0.0341,0.1943,0.0046,0.1018,2,6,6,4,4,-2.2116,0.4972,0.5393,-1.6417
"Gypsophila fastigiata",0.5012,0.6077,0.2895,0.2355,0.2578,8,2,2,7,6.6667,-0.3358,-0.044,-1.7507,0.3317
"Gypsophila muralis",0.7108,1.7244,0.231,0.3106,0.4998,8,6,4,3,6,1.0127,1.4251,-0.4182,-1.9783
"Gypsophila paniculata",0.4959,1.2104,0.2902,0.5289,0.2962,9,3,4,6,7,0.7905,0.0388,-1.0662,0.178
"Hackelia deflexa",0.6474,0.7658,0.1772,0.4125,0.2946,7.5,4,7,7,5,-0.0682,0.7011,0.5722,0.123
"Hacquetia epipactis",0.6986,0.0217,0.1887,0.0031,0.1022,4,5,6,7,6,-1.9854,0.4697,0.411,0.6215
"Hedera helix aggr.",0.6868,0.0581,0.2013,0.0143,0.1051,4,5,6,6,5,-1.9026,0.4321,0.3307,-0.2479
"Helianthemum canum",0.4323,1.1404,0.3502,0.2376,0.173,9,2,1,9,7,0.1244,-0.9401,-1.9522,1.418
"Helianthemum nummularium",0.4733,0.912,0.2879,0.3884,0.1403,7.9167,3.4167,2.75,7.25,4.5833,-0.0274,-0.8309,-0.9077,-0.1996
"Helianthus tuberosus",0.6671,1.0424,0.201,0.5465,0.2743,8,6,8,7,7,0.4895,0.5685,1.0716,1.0932
"Helichrysum arenarium",0.4231,1.3497,0.3173,0.5682,0.3084,8,2,2,5,6,0.7551,-0.1685,-1.8185,-0.9722
"Helictochloa pratensis",0.4967,1.3062,0.2985,0.7568,0.1568,7.5,3,2,6,6,0.5811,-0.4839,-1.3085,-0.3477
"Helictotrichon desertorum",0.4807,1.7415,0.428,0.8565,0.1722,9,1,2,7,8,1.2285,-0.4726,-2.3174,1.0754
"Hepatica nobilis",0.6847,0.0379,0.1965,0.0102,0.1011,4,5,5,7,6,-1.9684,0.3432,0.1472,0.4998
"Heracleum sphondylium",0.5623,0.6141,0.1608,0.467,0.2633,7.125,5.125,7.875,6.5,4.5,-0.0487,0.2129,1.1272,-0.2041
"Herniaria glabra",0.5503,1.6668,0.3154,0.501,0.3619,9,3,4,4,6,1.1693,0.5149,-1.2851,-1.2386
"Hesperis tristis",0.4828,1.0635,0.3349,0.4367,0.1569,8,3,3,8,8,0.1542,-0.5812,-1.2904,1.5997
"Hieracium bifidum",0.5187,0.3233,0.2317,0.0626,0.1099,8,4,3,8,5,-0.8616,-0.7136,-0.6353,0.368
"Hieracium lachenalii",0.6353,0.1404,0.2132,0.0687,0.1392,5,4.5,2.5,4,5,-1.5116,0.317,-0.9463,-1.664
"Hieracium laevigatum",0.5861,0.3179,0.2444,0.2228,0.202,5,5,3,4,5,-1.0312,0.1807,-0.7564,-1.655
"Hieracium maculatum",0.6761,0.0481,0.2029,0.032,0.1135,5,4,4,5,7,-1.7195,0.6342,-0.7334,-0.1576
"Hieracium murorum",0.6711,0.0533,0.2033,0.0211,0.1095,4.5,5,4,5,5,-1.7781,0.3414,-0.3089,-0.9751
"Hieracium racemosum",0.6866,0.026,0.204,0.0129,0.1073,5,4,3.5,4,6,-1.7579,0.6574,-0.9112,-1.0873
"Hieracium sabaudum",0.6667,0.0789,0.2049,0.0563,0.1202,5,5,4,4,6,-1.5631,0.493,-0.5373,-1.0485
"Hieracium umbellatum",0.5537,0.4254,0.2239,0.224,0.2206,7,4,3,6,6,-0.6283,0.0478,-0.8348,-0.3248
"Hierochloe repens",0.5484,1.3544,0.1486,0.6098,0.1832,6,3,3,5,5,0.1157,0.1936,-0.4672,-1.3286
"Himantoglossum adriaticum",0.5,0.8252,0.2636,0.472,0.0954,7,4,3,8,7,-0.2392,-0.7306,-0.6568,1.1766
"Hippocrepis comosa",0.4958,0.8291,0.3027,0.4313,0.1322,7,3,3,8,6,-0.2831,-0.6378,-0.9789,0.7833
"Hirschfeldia incana",0.8256,1.1352,0.2115,0.5704,0.4584,9,3,5,7,7,0.6322,1.9087,-0.493,0.5694
"Holcus lanatus",0.5107,1.2347,0.287,0.8171,0.2905,7,6,5,6,5.5,0.905,-0.3113,0.2108,-0.3427
"Holcus mollis",0.6071,0.3756,0.2025,0.2526,0.2339,6,5,4,3,5,-0.7035,0.5165,-0.5219,-2.069
"Holosteum umbellatum",0.5977,1.628,0.307,0.3683,0.4342,8.5,3,2.5,7,6,0.8205,0.5857,-1.2771,-0.1014
"Homogyne alpina",0.4922,0.2577,0.2049,0.0169,0.0843,5,6,2,3,3,-1.32,-0.6897,-0.5951,-3.0007
"Hordeum murinum",0.801,1.2902,0.1946,0.756,0.5249,8,4,5.5,7,7.1667,0.927,1.9475,0.0512,0.5696
"Hottonia palustris",0.3148,0.9711,0.05,0.0827,0.0602,6,11,6,6,6,-0.1678,-1.8665,2.4114,-0.1101
"Humulus lupulus",0.6465,0.2915,0.1873,0.0812,0.1229,6,7,8,6,6,-1.0411,0.1309,1.1989,0.3761
"Hydrocotyle vulgaris",0.3499,1.3188,0.2419,0.2586,0.1704,6,9,3,3,5,0.3642,-1.4043,0.2485,-2.2164
"Hylotelephium maximum",0.5974,0.2726,0.2222,0.1464,0.1698,7,4,3.5,5,5.5,-0.895,0.187,-0.8434,-0.8624
"Hylotelephium telephium",0.5677,0.4597,0.2136,0.2704,0.2286,7,4,4,6,6,-0.5431,0.1915,-0.5379,-0.217
"Hyoscyamus albus",0.8081,1.3503,0.1407,0.8302,0.5936,9,2,8,7,9,1.2439,2.739,0.2162,1.5144
"Hyoscyamus niger",0.8127,1.4838,0.1307,0.9323,0.5563,8,4,8.5,7,6,1.305,2.2356,1.2039,0.362
"Hypericum elegans",0.4985,1.2826,0.3743,0.6734,0.1776,8,3,3,8,7,0.5886,-0.6202,-1.2677,1.21
"Hypericum hirsutum",0.66,0.1332,0.192,0.0951,0.1175,7,5,6,6,6,-1.1137,0.2874,0.1475,0.1723
"Hypericum humifusum",0.6518,0.8581,0.2564,0.2884,0.3789,7,7,3,3.5,6,0.1384,0.6447,-0.5326,-1.6745
"Hypericum maculatum aggr.",0.5071,0.8019,0.1839,0.4776,0.2417,7.5,6,3,3.5,4,0.2639,-0.2609,-0.2379,-2.4232
"Hypericum montanum",0.6661,0.0788,0.2078,0.0503,0.1093,5,4,4,7,6,-1.7427,0.3038,-0.4089,0.3921
"Hypericum perforatum",0.559,0.6519,0.2428,0.4372,0.2171,7,4,4,6,5.5,-0.2254,0.0236,-0.5291,-0.3846
"Hypericum tetrapterum",0.4915,0.9008,0.2273,0.5306,0.1395,7,8,5,7,5,0.2408,-1.093,0.9661,0.0326
"Hypochaeris maculata",0.5238,0.8048,0.2794,0.5888,0.155,8,4,3,7,6,0.1672,-0.5287,-0.8067,0.2765
"Hypochaeris radicata",0.4887,1.4426,0.3393,0.7278,0.3563,8,5,3,4,5,1.2396,-0.1584,-0.9735,-1.7561
"Illecebrum verticillatum",0.658,1.6248,0.1976,0.1038,0.3873,8,7,3,3,6,0.6465,0.7782,-0.3399,-2.0316
"Impatiens glandulifera",0.6002,0.5198,0.1685,0.235,0.133,6,8,7,7,6,-0.6473,-0.3108,1.4842,0.6574
"Impatiens noli-tangere",0.6542,0.1839,0.1725,0.0605,0.108,4,7,7,7,5,-1.6272,0.0227,1.3187,0.2905
"Impatiens parviflora",0.6902,0.1567,0.1882,0.072,0.1415,4,5,6.5,7,5.5,-1.7501,0.5257,0.6147,0.4287
"Inula britannica",0.5554,1.4575,0.288,0.7638,0.1786,8,7,5,8,6,1.0022,-0.7865,0.6134,0.9352
"Inula conyzae",0.6243,0.2345,0.2314,0.1626,0.1254,6,4,3,7,6,-1.2556,0.0244,-0.737,0.2731
"Inula ensifolia",0.4718,0.7714,0.3003,0.2979,0.1396,8,3,3,8,7,-0.2313,-0.6747,-1.1544,1.1914
"Inula germanica",0.5306,0.7389,0.3205,0.4965,0.1457,8,3,3,8,7,-0.0733,-0.4647,-1.2006,1.2242
"Inula helenium",0.5707,0.7507,0.1804,0.5764,0.1582,7,5,6,7,5,-0.0561,-0.1751,0.6633,0.1253
"Inula hirta",0.5361,0.5738,0.2929,0.4113,0.1244,7,3,3,8,6,-0.5327,-0.4711,-0.9991,0.8061
"Inula oculus-christi",0.4743,1.092,0.3365,0.4027,0.169,9,2,3,8,8,0.2971,-0.4931,-1.5928,1.6065
"Inula salicina",0.5328,0.615,0.2503,0.5082,0.1359,7.5,5.5,3.5,8.5,6,-0.1412,-0.7903,-0.0604,1.035
"Iris aphylla",0.4713,1.1375,0.3203,0.5035,0.1372,8,3,2,8,7,0.2337,-0.7951,-1.3528,1.0648
"Iris graminea",0.6406,0.1153,0.2126,0.0787,0.1074,5,4,4,7,7,-1.6546,0.2572,-0.489,0.7965
"Iris humilis",0.4,2.1347,0.3667,0.2176,0.2143,9,2,2,7,8,0.9554,-0.6861,-1.9377,0.8988
"Iris pseudacorus",0.4365,0.6426,0.1614,0.3129,0.1152,6.5,9,7.5,6,6,-0.1358,-1.0667,1.7999,0.2248
"Iris pumila",0.465,1.1901,0.393,0.429,0.1824,9,2,2,9,8,0.3935,-0.7369,-1.9118,1.996
"Iris sibirica",0.4909,1.3635,0.2308,1.0932,0.1317,8,8,3,6,6,1.3793,-1.1689,0.4467,-0.2931
"Iris variegata",0.5595,0.303,0.2466,0.1702,0.1111,6,3,4,8,7,-1.2215,-0.1365,-0.7145,1.3016
"Isatis tinctoria",0.6207,1.0574,0.2371,0.3686,0.3389,9,3,3,8,7,0.339,0.518,-0.9557,0.916
"Isolepis setacea",0.5864,1.7361,0.3358,0.2321,0.2753,7,8,3,4,5,0.664,-0.31,-0.3077,-1.7113
"Jacobaea aquatica",0.5186,1.3035,0.3452,0.7944,0.1839,7,8,4,5,6,0.9416,-0.8605,0.053,-0.5675
"Jacobaea erratica",0.5046,1.0504,0.3104,0.7233,0.1602,7,6.5,5.5,7,5,0.5183,-0.8958,0.4788,0.1762
"Jacobaea erucifolia",0.5289,1.3176,0.2242,0.8215,0.2541,7,5,4,8,6,0.7313,-0.3156,0.2136,0.6437
"Jacobaea vulgaris",0.4958,1.3631,0.292,0.6279,0.3217,8,4,4,7,6,0.8652,-0.1666,-0.5236,0.1886
"Jasione montana",0.4478,0.8267,0.3099,0.325,0.3071,8,2,2,3,5,0.1574,0.0955,-2.1218,-2.2893
"Jovibarba globifera",0.3769,0.9197,0.2793,0.0582,0.1839,9,2,2,7.3333,6,-0.1197,-0.8638,-1.6278,0.2605
"Juglans regia",0.6977,0.1006,0.1939,0.0331,0.1284,6,5,7,7,7,-1.4355,0.5543,0.4482,1.1596
"Juncus acutiflorus",0.4519,1.5634,0.2779,0.8254,0.1671,8,8,3,4,5,1.3768,-1.1646,0.0546,-1.6499
"Juncus alpinoarticulatus",0.2382,1.4699,0.1274,0.4379,0.0663,8,9,2.5,7,5,0.8556,-2.5049,1.0863,-0.4062
"Juncus articulatus",0.4386,1.7322,0.3526,0.4925,0.1605,8,9,3,5,5,1.1834,-1.5642,0.0486,-1.1016
"Juncus atratus",0.4949,2.1055,0.2624,0.8574,0.1403,8,9,4,7,7,1.6916,-1.2853,0.8945,0.68
"Juncus bufonius aggr.",0.6505,1.8312,0.3206,0.2796,0.3836,8,7.75,4.25,4.625,5.5,1.0483,0.2962,-0.028,-1.1686
"Juncus bulbosus",0.237,1.3249,0.1298,0.137,0.147,6,10,3,4,6,0.3075,-1.9095,0.9722,-1.4772
"Juncus capitatus",0.514,1.9151,0.227,0.1954,0.3132,8,8,3,4,7,1.0384,-0.2376,-0.06,-1.0883
"Juncus compressus",0.5327,1.4387,0.464,0.6397,0.1813,8,8,5,7,5,1.0356,-1.2468,0.0621,0.26
"Juncus conglomeratus",0.4993,1.2293,0.2382,0.7569,0.1625,7,8,4,4,5,0.8224,-0.8046,0.4259,-1.549
"Juncus effusus",0.5061,0.8416,0.251,0.4743,0.16,7,8,4,5,5,0.207,-0.8665,0.3487,-1.0303
"Juncus filiformis",0.3961,1.0776,0.1809,0.4679,0.1697,7,8,3,3,4,0.4944,-1.1192,0.2898,-2.6427
"Juncus gerardi",0.4809,2.1888,0.4782,0.2008,0.1916,8,7.5,4.5,7.5,6,1.0708,-1.3659,-0.2345,0.7755
"Juncus inflexus",0.4797,1.2809,0.3615,0.766,0.1263,7,8,5,8,5,0.776,-1.5118,0.6883,0.656
"Juncus subnodulosus",0.3431,1.478,0.1707,0.4407,0.138,7.5,8,3,9,6,0.6618,-1.8764,0.9616,0.9962
"Juncus tenuis",0.5709,1.0512,0.4051,0.5713,0.2856,6,6,5,5,6,0.3206,-0.0515,-0.487,-0.4602
"Juniperus communis subsp. communis",0.5983,0.2054,0.2289,0.0641,0.1224,7.9167,4,2.5,5.3333,4,-0.9501,-0.1835,-1.0308,-1.3575
"Jurinea mollis",0.4533,1.0523,0.3453,0.3404,0.1601,8,2,3,9,7,-0.0261,-0.7319,-1.3803,1.6782
"Kickxia elatine",0.8126,1.643,0.1794,0.528,0.7299,7,5,6,7,7,1.043,2.5197,0.5035,0.2706
"Klasea lycopifolia",0.4889,1.5437,0.26,0.8962,0.148,7,3,4,8,7,0.7556,-0.4877,-0.3911,1.1968
"Knautia arvensis",0.5227,1.1242,0.1968,0.8588,0.277,7,4.1,4,6.6,5.7,0.6542,0.0052,-0.0588,-0.1805
"Knautia drymeia",0.6123,0.2347,0.1942,0.1743,0.1525,5,5,5,6,6,-1.2779,0.2215,0.0653,-0.0426
"Knautia kitaibelii",0.4954,1.1289,0.246,0.6475,0.1798,7,4,4,6,6,0.3493,-0.3376,-0.4181,-0.1819
"Knautia maxima",0.5564,0.3348,0.197,0.1478,0.128,5,6,5,6,4,-1.1659,-0.365,0.4782,-0.8422
"Koeleria glauca",0.4184,0.8731,0.2617,0.3845,0.3585,8,2,2,7,7,0.222,-0.0569,-1.5699,0.2866
"Koeleria macrantha",0.4668,1.4386,0.3388,0.59,0.2141,8,3,2,8,6,0.6439,-0.7186,-1.2772,0.5755
"Koeleria pyramidata",0.4939,1.322,0.3024,0.8155,0.1458,7,4,3,7,6,0.5963,-0.6951,-0.6753,0.2563
"Krascheninnikovia ceratoides",0.4761,2.007,0.4357,0.3488,0.2162,9,2,3,9,8,0.9237,-0.6251,-1.7311,2.0804
"Lactuca muralis",0.6956,0.0431,0.1925,0.0169,0.1126,4,5,6,6,5.5,-1.9083,0.5394,0.3195,-0.0625
"Lactuca perennis",0.5166,0.5839,0.2933,0.2012,0.1908,9,2,2,8,7,-0.3251,-0.2907,-1.738,1.0404
"Lactuca saligna",0.6548,1.2672,0.27,0.5371,0.3932,8,4,6,8,8,0.6448,0.8815,-0.0871,1.6552
"Lactuca serriola",0.7652,1.2264,0.1614,0.7034,0.5181,8.5,4,5,6,7,0.9606,1.8736,-0.0918,-0.0619
"Lactuca viminea",0.5082,0.7011,0.2736,0.1827,0.2062,8,3,3,7,7,-0.3321,-0.1919,-1.2347,0.6219
"Lamium album",0.6044,0.8458,0.1699,0.6484,0.2808,6,5,8,6,5,0.0844,0.5623,1.1346,-0.2573
"Lamium amplexicaule",0.8233,1.6443,0.168,0.4633,0.7529,7,4,7,7,6,0.9339,2.7691,0.6161,-0.0371
"Lamium galeobdolon",0.6885,0.0568,0.1846,0.0126,0.103,3.25,6,7,6,5.25,-1.9837,0.4294,0.8943,-0.054
"Lamium maculatum",0.6563,0.2574,0.178,0.1267,0.1331,4.5,6,8,7,5,-1.4158,0.2525,1.3033,0.4075
"Lamium purpureum",0.813,1.0921,0.1463,0.4162,0.7144,7,5,7,7,5,0.5152,2.4601,0.9158,-0.3912
"Lappula squarrosa",0.6696,1.4152,0.2171,0.605,0.3706,8,3,6,7,6,0.7084,1.0407,-0.0213,0.3336
"Lapsana communis",0.7278,0.3636,0.1722,0.2138,0.3707,5,5,7,6,6,-0.9384,1.4301,0.6099,-0.0438
"Larix decidua",0.6602,0.0688,0.2004,0.0123,0.1167,7.5,4,3.5,5,4,-1.2368,0.2122,-0.7454,-1.401
"Laser trilobum",0.6647,0.0747,0.2101,0.045,0.1016,6,4,4,8,6,-1.5912,0.1272,-0.3545,0.8938
"Laserpitium latifolium",0.5577,0.3257,0.2239,0.1747,0.1114,6,5,4,8,5,-1.0935,-0.5343,0.011,0.4541
"Laserpitium prutenicum",0.4683,0.8749,0.2344,0.6516,0.1522,6,7,3,7,6,0.1103,-1.019,0.2357,0.16
"Lathyrus hirsutus",0.6618,1.0219,0.2327,0.6144,0.3882,7,4,6,7.5,6,0.3397,0.9045,0.2034,0.5746
"Lathyrus latifolius",0.5972,0.3704,0.236,0.3093,0.1472,7,4,5,8,7,-0.7312,-0.015,-0.2216,1.3923
"Lathyrus niger",0.688,0.0261,0.2019,0.021,0.1028,5,4,4,7,6,-1.8442,0.3881,-0.4074,0.3997
"Lathyrus palustris",0.4361,1.0493,0.1783,0.65,0.1296,7.5,8,3.5,7.5,6,0.5623,-1.3657,0.8274,0.4199
"Lathyrus pannonicus",0.5311,0.6337,0.2688,0.5542,0.1285,6.3333,4,3,8,7,-0.3936,-0.4896,-0.6598,1.155
"Lathyrus pratensis",0.5255,1.2033,0.1749,0.9674,0.2638,7,6,6,6.5,5,0.9546,-0.1954,1.0434,-0.2791
"Lathyrus sylvestris",0.6104,0.3348,0.1998,0.2365,0.1694,7,4,4,7,6,-0.8261,0.133,-0.3923,0.3222
"Lathyrus tuberosus",0.7045,1.5319,0.1751,0.6119,0.5115,7,4,5,8,6,0.7503,1.3923,0.3167,0.4449
"Lathyrus vernus",0.6953,0.0234,0.1916,0.0081,0.1025,4,5,5,7,6,-1.9911,0.3986,0.1608,0.4953
"Leersia oryzoides",0.4654,1.3552,0.1082,0.1481,0.1933,7,9,8,7,6,0.2934,-0.7509,2.2874,0.5706
"Lembotropis nigricans",0.6006,0.2192,0.2329,0.1333,0.1202,6,4,3,6,6,-1.2497,0.0109,-0.8711,-0.1961
"Lemna minor",0.2748,1.377,0.0525,0.1564,0.0695,7,11,6,6,5,0.4358,-2.1479,2.5245,-0.5402
"Lemna trisulca",0.2584,1.5499,0.0271,0.0816,0.0386,7,12,6,7,6,0.4716,-2.4218,2.9179,0.3186
"Leontodon hispidus",0.4865,1.2852,0.2274,0.777,0.252,7.5,5,6,6.5,5,0.8761,-0.3399,0.5413,-0.203
"Leonurus cardiaca",0.7087,0.746,0.1756,0.6006,0.305,7,5,8,7,6,0.0694,0.9799,1.0327,0.6425
"Leopoldia comosa",0.6445,0.601,0.2567,0.3564,0.2876,7,3,4,7,7.5,-0.4164,0.7425,-0.9213,0.8579
"Leopoldia tenuiflora",0.5161,0.7871,0.3176,0.4148,0.1865,7,3,3,8,8,-0.2567,-0.2781,-1.2278,1.5545
"Lepidium campestre",0.6324,0.9839,0.2316,0.5606,0.3395,7,4,5,8,6,0.183,0.5553,0.0214,0.7323
"Lepidium draba",0.7518,1.3537,0.1802,0.717,0.4839,8,4,6,7,7,0.9211,1.6722,0.2614,0.5811
"Lepidium ruderale",0.7754,1.8372,0.1755,0.9725,0.5264,9,4,6,7,6,1.7596,1.7357,0.4479,0.1127
"Leucanthemum adustum",0.4701,0.5388,0.2476,0.1403,0.1178,7,5,5,7,5,-0.6331,-0.8117,0.0217,0.1163
"Leucanthemum vulgare aggr.",0.5108,1.2985,0.1943,0.9626,0.3024,7.1667,4.5,4.1667,6,5,1.01,-0.0307,0.1171,-0.7702
"Leucojum aestivum",0.5717,0.4571,0.2007,0.3358,0.1334,6,8,7,7,8,-0.5212,-0.3354,1.2156,1.5036
"Ligularia sibirica",0.4414,0.6589,0.171,0.2756,0.1196,7,9,4,7,5,-0.1608,-1.4302,1.0844,-0.1415
"Ligustrum vulgare",0.6581,0.101,0.2066,0.0236,0.1023,6,4,5,7,6,-1.5421,0.2597,-0.2238,0.5411
"Lilium bulbiferum",0.6608,0.0893,0.2027,0.0614,0.1137,7,5,3.5,7,5,-1.2648,-0.037,-0.3085,-0.0597
"Lilium martagon",0.6661,0.0658,0.1905,0.0225,0.1015,4,5,5.5,7,5,-1.9172,0.229,0.3871,0.1476
"Limosella aquatica",0.7412,1.9151,0.2234,0.0528,0.3557,8,8,6,6,6,0.689,0.7185,0.9023,-0.1706
"Linaria genistifolia",0.5044,0.8097,0.3008,0.3041,0.2333,8,2,2,5,7,-0.0888,0.0919,-2.0146,-0.4527
"Linaria vulgaris",0.633,1.0035,0.1832,0.6248,0.3455,8,4,5,7,6,0.4888,0.6904,0.0528,0.2101
"Lindernia procumbens",0.7135,1.8289,0.162,0.0405,0.3819,9,8,6,7,7,0.8314,0.703,1.1168,0.6205
"Linum austriacum",0.5037,1.5801,0.3761,0.6585,0.2002,9,3,2,8,7,0.9819,-0.6488,-1.5325,1.0542
"Linum catharticum",0.4704,1.5956,0.294,0.8027,0.1843,7,5,2.5,7,5,0.8876,-0.9173,-0.4027,-0.2946
"Linum flavum",0.4752,1.37,0.316,0.64,0.1277,8,3,3,8,7,0.5422,-0.7629,-1.0145,1.1838
"Linum hirsutum",0.4686,1.2902,0.3486,0.5093,0.1479,9,3,3,8,8,0.5961,-0.7468,-1.3403,1.625
"Linum perenne",0.4685,1.8329,0.3167,0.5534,0.1767,7.5,3,2,8,7,0.7136,-0.6895,-1.1774,0.9565
"Linum tenuifolium",0.4979,0.9631,0.3357,0.4299,0.1584,9,2,2,8,8,0.185,-0.4773,-1.8499,1.5026
"Lipandra polysperma",0.7838,1.6236,0.166,0.5065,0.6514,6.5,6,8,6,6,0.9457,2.2256,1.268,-0.2951
"Liparis loeselii",0.2823,1.4469,0.1731,0.3291,0.1361,8,9,3,7,5,0.796,-2.166,0.9666,-0.3554
"Lithospermum officinale",0.5777,0.4678,0.2303,0.2298,0.1503,6,4,5,8,6,-0.9402,-0.0971,-0.0578,0.9497
"Lolium multiflorum",0.685,1.5807,0.2246,0.7697,0.5222,7,4,7.5,7,6.5,1.0922,1.5195,0.6116,0.5381
"Lolium perenne",0.5633,1.722,0.4331,1.0717,0.3842,8,5,6,7,5,1.7701,-0.0883,-0.1319,0.1294
"Lonicera caprifolium",0.6952,0.0194,0.2005,0.0017,0.0993,6,4,5,8,7,-1.6906,0.3926,-0.1869,1.4264
"Lonicera nigra",0.6893,0.024,0.1933,0.002,0.0987,3,6,4,5,4,-2.0993,0.2656,0.1217,-1.4045
"Lonicera xylosteum",0.6928,0.0459,0.1903,0.0028,0.1015,4,5,6,7,6,-1.964,0.4414,0.4104,0.6214
"Lotus borbasii",0.485,1.4665,0.3184,0.6846,0.1429,8,3,3,8,7,0.6691,-0.6911,-0.9992,1.1649
"Lotus corniculatus",0.4995,1.137,0.2773,0.6656,0.2555,7,4,3.5,7,5,0.4395,-0.3599,-0.4635,-0.2227
"Lotus maritimus",0.4526,1.8595,0.3036,1.0726,0.1307,8,6,2.5,8.5,7,1.5466,-1.3696,-0.1123,1.2858
"Lotus pedunculatus",0.4994,1.5894,0.2637,0.8702,0.2008,7,8,4,4,5,1.2545,-0.757,0.4128,-1.5859
"Lotus tenuis",0.5083,1.8108,0.4168,0.5789,0.2034,7,7,6,8,6,0.9821,-0.9987,0.4132,1.1394
"Lunaria rediviva",0.6867,0.0984,0.1466,0.0186,0.1014,4,6,8,7,5,-1.8304,0.3758,1.3975,0.4123
"Lupinus polyphyllus",0.584,0.8452,0.1868,0.5292,0.2874,7,5,6,4.5,5,0.2002,0.4704,0.309,-1.1994
"Luzula campestris aggr.",0.4772,1.0532,0.2524,0.5872,0.269,6.9,4.6667,2.8167,3.5667,4.6667,0.4441,-0.1818,-0.7991,-2.1194
"Luzula luzuloides",0.6521,0.0823,0.2017,0.0271,0.1128,4.5,5,3.8333,3,4.3333,-1.6725,0.4107,-0.5248,-2.2234
"Luzula pilosa",0.6913,0.05,0.1995,0.012,0.1269,2.5,5,4,4.5,5,-2.1731,0.6263,-0.2466,-1.2663
"Luzula sylvatica",0.6368,0.0816,0.1977,0.0161,0.0984,4,5,4,3,4,-1.7909,0.3249,-0.4086,-2.3366
"Lycium barbarum",0.7292,0.7762,0.1911,0.4648,0.3233,8,5,7,7,7,0.138,1.0714,0.5458,0.9331
"Lycopodium annotinum",0.6587,0.0506,0.1953,0.0032,0.1042,3,6,3,2,4,-1.9626,0.3897,-0.4875,-2.9644
